site_ID,total_biomass (mg),sieved area (m2),biomass (mg) per m2
ADAMOP001,158.4839644,0.03,5282.798813
ADAMSONSFALLS001,59.34109532,0.025,2373.643813
ADAMSONSTK001,44.88438633,0.035,1282.411038
BENLOMOND001,28.97251248,0.04,724.3128119
BLUETIER001,232.8734875,0.03,7762.449584
BLUETIERGIANT001,114.978866,0.04,2874.471649
BOBSMITHSGULLY001,51.15752845,0.025,2046.301138
BROWNEX001,95.42306821,0.03,3180.76894
BROWNOP001,82.85376314,0.03,2761.792105
CETHANARD001,44.73007129,0.025,1789.202852
CHESTEX001,29.65135404,0.03,988.3784681
CHESTOP001,23.78045789,0.03,792.6819296
COCKLECREEK001,192.9446205,0.03,6431.48735
COOLEX001,0.307742006,0.025,12.30968024
COOLOP001,44.68828029,0.025,1787.531212
CORINNA001,124.2677788,0.02,6213.388941
CORINNA002_,106.7792808,0.02,5338.964041
CREEPYCRAWLEYTK001,2.574702171,0.04,64.36755427
CRONLEYSCREEK001,119.7601536,0.025,4790.406144
DALEBROOK002,36.3316601,0.025,1453.266404
DISMALSWAMP001,67.2000202,0.035,1920.000577
DOUGLASAPSLEY001,200.788337,0.035,5736.809628
DUCKHOLE001,11.90133141,0.02,595.0665706
FERNDENE001,70.89156543,0.03,2363.052181
FERNTREE002,59.59871839,0.04,1489.96796
FIRETOWERRD001,368.3709132,0.035,10524.88323
FORTESCUEBAY001,430.0267998,0.025,17201.07199
HARTZRD001,43.97079448,0.035,1256.308414
HASTINGS001,17.12493528,0.04,428.1233821
HELLYERGORGE001,168.8101006,0.04,4220.252514
HENTYRIVER001,36.7781338,0.025,1471.125352
HOGARTHFALLS001,71.36901841,0.02,3568.45092
HOTSP0P001,41.46745094,0.03,1382.248365
HOTSPEX001,63.27012114,0.03,2109.004038
HUONCAMPGROUND001,53.14390786,0.04,1328.597697
JACQUESRD001,288.780608,0.04,7219.515201
KELLYBASINRD001,87.28149435,0.04,2182.037359
KELLYBASINRD002,22.98968114,0.035,656.8480326
LAKESTCLAIR001,130.5697254,0.035,3730.563582
LIFFEYFALLS001,51.00425313,0.015,3400.283542
LIFFEYFALLS002,6.130841934,0.015,408.7227956
MAGGSMTN001,106.3335089,0.04,2658.337722
MARAKOOPA001,27.03372164,0.02,1351.686082
MATHINNAFALLS001,230.3178228,0.04,5757.945571
MCKIMMIESCK001,18.35002146,0.01,1835.002146
MEETUSRD001,172.4316183,0.035,4926.617665
MONTEZUMA001,14.70812779,0.035,420.2322226
MOUNTFIELD001,565.1227217,0.025,22604.90887
MTARTHUR001,275.03774,0.025,11001.5096
MTDUNDAS001,52.13926917,0.035,1489.693405
MTELEPHANT001,24.44534421,0.015,1629.689614
MTHORROR001,91.34885512,0.025,3653.954205
MTHORROR002,615.1746656,0.03,20505.82219
MTLINDSAY001,10.49388899,0.015,699.5925995
MTROLAND001,92.24465228,0.04,2306.116307
MTTANNER001,6.854611835,0.025,274.1844734
MURDUNNA001,80.75298957,0.025,3230.119583
MYRTLEFOR004,55.6254784,0.025,2225.019136
NOTLEYGORGE001,181.0260712,0.03,6034.202375
OLDFARMEX001,12.76214945,0.03,425.4049817
OLDFARMOP001,7.323947116,0.03,244.1315705
PARADISEPL001,11.3450341,0.04,283.6258525
PIONEERLINK001,73.27299597,0.04,1831.824899
QUAMBYBLUFF001,209.1894421,0.015,13945.96281
QUERIVER001,440.1345451,0.025,17605.38181
QUERIVER002,0.162016844,0.02,8.100842201
QUERIVER003,135.494779,0.02,6774.738948
REBECCACREEK001,25.87445338,0.025,1034.978135
RESEX001,29.26667653,0.03,975.5558845
RESOP001,332.9866402,0.03,11099.55467
ROSEBERY001,72.77575325,0.02,3638.787662
ROSSARDEN001,380.7874717,0.035,10879.64205
RUSSELLRIDGE001,441.8720829,0.035,12624.91666
SCOTSPEAKRD001,95.68743004,0.04,2392.185751
SNUGTIERS001,318.3570387,0.025,12734.28155
STRATHGORDNON001,90.85509051,0.025,3634.20362
STRICKLAND001,20.90531545,0.025,836.2126181
STRZLECKI001,12.1251676,0.015,808.3445064
STRZLECKI003,101.5452587,0.015,6769.683915
SUGARLOAF001,14.77019871,0.025,590.8079482
SUMAC001,125.8565634,0.04,3146.414085
SUMAC002,41.59084261,0.04,1039.771065
TARRALEAH001,208.0049451,0.02,10400.24726
TARRALEAH002,107.7853483,0.03,3592.844944
TIMBSTK001,369.0028227,0.04,9225.070568
TOLKIENTK001,371.4201869,0.02,18571.00934
TOOMSRD001,133.5588503,0.02,6677.942513
UNIVERSITY002,29.46425008,0.02,1473.212504
WALDHEIM001,15.3091541,0.03,510.3051368
WARRA66S001,53.39181365,0.035,1525.48039
WARRASUPER001,6.756391177,0.035,193.0397479
WARRAWOGS001,0.635261579,0.03,21.17538596
WATERFALLBAY001,17.04019996,0.03,568.0066653
WAYATINAH001,323.3703697,0.04,8084.259242
WELDAUSPL001,0.70775509,0.025,28.31020358
WELDBOROUGHFW001,39.9878784,0.035,1142.510812
WELDBOROUGHRD001,304.1483452,0.04,7603.708629
WELDRIVER003,4.880857627,0.035,139.453075
WIELANGTA001,199.8809486,0.02,9994.047429
WIELANGTA002,334.124715,0.035,9546.420428
,,,
min,0.162016844,0.01,8.100842201
mean,120.2010562,0.0292,4253.406655
max,615.1746656,0.04,22604.90887
stdev,135.2420681,0.008142862,4902.881701
